ThetaXHGdeg,ThetaXHG
-5.2976447294087,-0.092461343129106
-5.69588159975384,-0.099411887719466
-6.1214269183412,-0.106839054645264
-6.27914544678239,-0.109591762257963
-6.37882400283149,-0.111331481254654
-6.90351204436997,-0.120489015125341
-7.51547210462222,-0.131169733067445
-7.77681799539115,-0.135731079347921
-8.0112585755822,-0.13982283937254
-8.35307657265399,-0.145788688864015
-8.7444455314641,-0.152619365785354
-8.95875157100644,-0.156359711782277
-9.31411499360076,-0.162561973547704
-8.58742583973552,-0.149878855174224
-8.81910856973592,-0.15392248163274
-8.96539217118372,-0.156475612119679
-8.81600780967655,-0.153868363160389
-4.46025591574197,-0.077846151211252
-4.94787763472856,-0.086356755711803
-5.39978621373303,-0.09424404833344
-5.5646976895225,-0.097122296560289
-5.98767944113095,-0.104504720801709
-6.47118041319652,-0.112943404700846
-6.65257487667004,-0.116109335333348
-7.08654528673452,-0.123683547845203
-7.57830815237935,-0.132266428989748
-8.11616626427529,-0.141653823950892
-8.50682939217714,-0.148472181798919
0.237619971322877,0.004147250868079
-0.133390049728957,-0.002328095557169
-0.60109482526398,-0.010491083817557
-0.850481612934223,-0.014843704373374
-1.21852007226249,-0.02126718726262
-1.69652671510005,-0.02960997702654
-2.06189960876323,-0.035986937018501
-2.29270223581445,-0.040015202782798
-2.7377429032839,-0.047782627735413
-3.18278357075335,-0.055550052688028
-3.38886171627849,-0.059146794843846
-3.82562009043144,-0.066769666508472
-4.11411317437685,-0.071804820692552
0.266468114018148,0.004650745941196
0.18697908076669,0.003263400591731
-0.443540854703119,-0.007741248281679
0.024830312248172,0.000433370703029
-1.04646188852915,-0.018264205451472
-1.62879958748735,-0.02842791565678
-2.07658741957081,-0.036243287677004
-2.64515257593194,-0.046166621667622
-3.26734048158306,-0.057025849187322
-3.67521282781445,-0.064144564556894
-4.1745616757449,-0.07285984606932
-4.75797784081147,-0.083042379059091
-5.32161442065717,-0.092879693162078
-5.95501266190891,-0.103934577948262
-6.3806327795328,-0.111363050363525
-6.83419781720056,-0.119279253642759
-7.26582361746576,-0.126812544993942
-7.7536098943327,-0.135326021571315
-8.17212682345214,-0.142630519959785
-8.63998255704268,-0.150796142935274
-9.08091296888455,-0.158491830394089
