HG_J0,HG_J1,HG_J2,HG_J3,HG_J4,HG_J5,HG_J6,HG_J7,HG_J8,HG_J9,HG_J10,RH_J0,RH_J1,RH_J2,RH_J3,RH_J4,RH_J5,RH_J6,RH_J7,RH_J8,RH_J9,RH_J10,RH_J11,RH_J12,RH_J13,RH_J14,RH_J15,ThetaXHG,ThetaYHG,ThetaZHG,,,,,,Thumb Base,Thumb Split,Thumb Bend,F1 Split,F1 Bend,F2 Split,F2 Bend,F3 Split,F3 Bend,F4 Split,F4 Bend
0.537,0.700925231,0.496491224,0.583333313,0.635807872,0.683333337,0.573985159,0.375,0.470277399,1,0.114136122,-0.104965524,0.585449737,0.632051533,1.079528125,-0.098178497,0.806109339,0.552666195,1.38168051,0.000628639,-0.195763434,0.693639569,0,1.400541543,0.205872999,-0.279905343,1.670781454,0.325274281,0,0,,,,,,0.545000017,0.287804976,1.005371189,1.018108696,1.243576013,1.192641662,1.080116761,0.654498469,0.805913442,1.745329252,-0.135724093
0.537,0.700925231,0.495614022,0.589999974,0.635807872,0.683333337,0.574858129,0.375,0.470717758,1,0.114136122,-0.113582826,0.584613646,0.62621549,1.07468339,-0.105846473,0.811453458,0.555156568,1.381878454,0.000628639,-0.195763434,0.693639569,0,1.39596894,0.204648478,-0.278924172,1.66903639,0.33309898,0,0,,,,,,0.545000017,0.287804976,1.003576827,1.029744213,1.243576013,1.192641662,1.082424893,0.654498469,0.807077752,1.745329252,-0.135724093
0.536000013,0.698424578,0.489912271,0.608333349,0.637117922,0.689999998,0.579659522,0.37833333,0.479524434,1,0.114136122,-0.123416876,0.583958466,0.619658936,1.069127656,-0.114628603,0.817702082,0.557843885,1.381891264,0.000628639,-0.195763434,0.693639569,0,1.390731484,0.203244056,-0.277787025,1.666951574,0.361335964,0,0,,,,,,0.545000017,0.299271429,0.991913596,1.061741989,1.247039787,1.20427718,1.095119775,0.660316228,0.830362602,1.745329252,-0.135724093
0.536000013,0.69142288,0.468421042,0.626666665,0.63799125,0.696666658,0.589262307,0.38499999,0.491413474,1,0.114136122,-0.134162672,0.583342283,0.611963826,1.062533946,-0.124197279,0.824669358,0.560564563,1.38163833,0.000628639,-0.195763434,0.693639569,0,1.385023879,0.201711328,-0.276530864,1.664571559,0.407019533,0,0,,,,,,0.545000017,0.331376897,0.947952152,1.093739662,1.249348864,1.215912697,1.120509539,0.671951745,0.861797225,1.745329252,-0.135724093
0.536000013,0.68967241,0.462719291,0.639999986,0.63799125,0.698333323,0.59231776,0.386666656,0.495376498,1,0.114659689,-0.145545476,0.583087999,0.603882104,1.055448828,-0.134371224,0.832260752,0.563215059,1.381060021,0.000628639,-0.195763434,0.693639569,0,1.37895333,0.200078643,-0.275174751,1.661914027,0.426533271,0,0,,,,,,0.545000017,0.339403469,0.93628892,1.117010696,1.249348864,1.218821576,1.128588157,0.674860625,0.872275459,1.745329252,-0.134339781
0.536000013,0.689172268,0.462280691,0.656666696,0.6393013,0.703333318,0.594500244,0.391666681,0.498018503,1,0.114659689,-0.156911367,0.583023931,0.595265279,1.047794667,-0.144931657,0.84034214,0.565696224,1.380117788,0.000628639,-0.195763434,0.693639569,0,1.37264926,0.198380525,-0.273743741,1.659013747,0.445694469,0,0,,,,,,0.545000017,0.341696814,0.935391739,1.146099593,1.252812637,1.227548214,1.134358644,0.683587315,0.879260922,1.745329252,-0.134339781
0.536000013,0.687171817,0.46184212,0.673333347,0.640174687,0.703333318,0.597992122,0.393333346,0.50022018,1,0.114659689,-0.170392265,0.583410997,0.585024279,1.038502378,-0.15699324,0.849810536,0.568206513,1.378635181,0.000628639,-0.195763434,0.693639569,0,1.365444605,0.196436858,-0.272080574,1.655530836,0.462482027,0,0,,,,,,0.545000017,0.350869649,0.934494619,1.175188387,1.255121872,1.227548214,1.143591171,0.686496194,0.885082155,1.745329252,-0.134339781
0.536000013,0.684921205,0.458333343,0.675000012,0.643231452,0.704999983,0.600174606,0.393333346,0.501100838,1,0.114659689,-0.182538753,0.584139278,0.575427964,1.02962855,-0.167869117,0.858592894,0.570132742,1.376878133,0.000628639,-0.195763434,0.693639569,0,1.358942512,0.194679847,-0.270550109,1.652212179,0.46795389,0,0,,,,,,0.545000017,0.361189566,0.927317232,1.178097266,1.263203958,1.230457094,1.149361658,0.686496194,0.887410616,1.745329252,-0.134339781
0.536000013,0.684171021,0.457456142,0.675000012,0.644541502,0.704999983,0.60235703,0.395000011,0.504183173,1,0.114659689,-0.196005971,0.58554165,0.56513264,1.019853976,-0.179537191,0.868251481,0.571868699,1.374584474,0.000628639,-0.195763434,0.693639569,0,1.351960091,0.19279043,-0.268877044,1.648476467,0.472018422,0,0,,,,,,0.545000017,0.364629448,0.92552287,1.178097266,1.266667731,1.230457094,1.155131987,0.689405073,0.89556031,1.745329252,-0.134339781
0.533999979,0.680170059,0.453947365,0.680000007,0.650655031,0.704999983,0.608904421,0.396666676,0.510347843,1,0.114659689,-0.209580131,0.587097216,0.55325235,1.00854401,-0.192187474,0.878998242,0.573361186,1.371619443,0.000628639,-0.195763434,0.693639569,0,1.344380818,0.190736667,-0.267025381,1.644218784,0.48511551,0,0,,,,,,0.545000017,0.38297539,0.918345483,1.186823904,1.282831903,1.230457094,1.17244329,0.692313953,0.911859697,1.745329252,-0.134339781
0.533999979,0.674918711,0.433771938,0.681666672,0.658951938,0.721666694,0.622435629,0.413333327,0.52399826,1,0.114659689,-0.222987895,0.589270605,0.541723731,0.997282329,-0.203788473,0.889127549,0.574336769,1.368420941,0.000628639,-0.195763434,0.693639569,0,1.337419829,0.188847831,-0.265287978,1.640103822,0.531929456,0,0,,,,,,0.545000017,0.407054833,0.877075582,1.189732783,1.304768924,1.259545991,1.208219804,0.721402746,0.947951401,1.745329252,-0.134339781
0.533999979,0.674918711,0.432894737,0.681666672,0.659825325,0.721666694,0.622872114,0.413333327,0.525319219,1,0.114659689,-0.2368124,0.591992409,0.529368509,0.985016762,-0.215764328,0.899844383,0.574965897,1.364660797,0.000628639,-0.195763434,0.693639569,0,1.330222681,0.186892653,-0.263455325,1.635652327,0.533506544,0,0,,,,,,0.545000017,0.407054833,0.87528122,1.189732783,1.307078159,1.259545991,1.20937387,0.721402746,0.951444014,1.745329252,-0.134339781
0.533999979,0.674418628,0.433333337,0.681666672,0.660261989,0.721666694,0.624618053,0.413333327,0.525319219,1,0.114659689,-0.250672233,0.595239828,0.516476454,0.972008539,-0.227786642,0.910873735,0.575199637,1.360406011,0.000628639,-0.195763434,0.693639569,0,1.322984634,0.184924234,-0.261573064,1.63096799,0.536127198,0,0,,,,,,0.545000017,0.409347905,0.876178401,1.189732783,1.308232698,1.259545991,1.213990133,0.721402746,0.951444014,1.745329252,-0.134339781
0.533999979,0.673418343,0.431140363,0.683333337,0.661135375,0.721666694,0.625491023,0.411666662,0.526199937,1,0.114659689,-0.261974502,0.598332181,0.505530325,0.960785864,-0.237604353,0.920104142,0.575058972,1.356532989,0.000628639,-0.195763434,0.693639569,0,1.317062094,0.183312009,-0.259999357,1.626961769,0.53918724,0,0,,,,,,0.545000017,0.413934595,0.871692557,1.192641662,1.310541933,1.259545991,1.216298265,0.718493866,0.953772633,1.745329252,-0.134339781
0.533999979,0.670667648,0.425000012,0.683333337,0.662008762,0.723333359,0.626364052,0.413333327,0.527520895,1,0.114659689,-0.275731821,0.602558163,0.49175556,0.946480061,-0.249569348,0.931577704,0.574552294,1.351411108,0.000628639,-0.195763434,0.693639569,0,1.309831332,0.18134228,-0.258043237,1.621895106,0.54189676,0,0,,,,,,0.545000017,0.426547585,0.859132144,1.192641662,1.312851168,1.26245487,1.218606554,0.721402746,0.957265246,1.745329252,-0.134339781
0.533999979,0.667666912,0.41842106,0.685000002,0.662008762,0.730000019,0.628546476,0.419999987,0.529722571,1,0.114659689,-0.28961874,0.607418549,0.477269941,0.9312011,-0.261666011,0.943456283,0.573620439,1.34573112,0.000628639,-0.195763434,0.693639569,0,1.30250399,0.179344746,-0.256016369,1.616540638,0.551589681,0,0,,,,,,0.545000017,0.44030711,0.84567455,1.195550542,1.312851168,1.274090387,1.224376884,0.733038263,0.963086479,1.745329252,-0.134339781
0.533999979,0.664916217,0.411403507,0.685000002,0.662008762,0.731666684,0.628982961,0.421666652,0.533245265,1,0.114659689,-0.303543287,0.612928839,0.462121733,0.914973004,-0.273815738,0.955673394,0.572250528,1.339508103,0.000628639,-0.195763434,0.693639569,0,1.295125795,0.177332078,-0.253927977,1.61092076,0.553958076,0,0,,,,,,0.545000017,0.452920099,0.831319776,1.195550542,1.312851168,1.276999267,1.225530949,0.735947142,0.972400482,1.745329252,-0.134339781
0.535000026,0.66166544,0.403508782,0.685000002,0.662008762,0.730000019,0.632911384,0.419999987,0.537648618,1,0.114659689,-0.316893241,0.618869845,0.447100178,0.898606544,-0.28545608,0.968494489,0.570813415,1.332987537,0.000628639,-0.195763434,0.693639569,0,1.287729332,0.175313409,-0.251784433,1.605052661,0.562400268,0,0,,,,,,0.545000017,0.467826161,0.8151707,1.195550542,1.312851168,1.274090387,1.2359177,0.733038263,0.984042947,1.745329252,-0.134339781
0.533999979,0.65991497,0.400438607,0.685000002,0.662445426,0.730000019,0.634220839,0.421666652,0.539409935,1,0.114659689,-0.328998188,0.624853702,0.432892138,0.882895053,-0.296029916,0.980407316,0.569099727,1.326578799,0.000628639,-0.195763434,0.693639569,0,1.280992781,0.173474168,-0.249784487,1.599490411,0.564563995,0,0,,,,,,0.545000017,0.475852732,0.808890494,1.195550542,1.314005706,1.274090387,1.239379897,0.735947142,0.988699869,1.745329252,-0.134339781
