,TR_LOSS
142,0.15782904384025878
143,0.15772813409244296
144,0.15762860334207887
145,0.15752809375312646
146,0.15743037340381363
147,0.15732897777875993
148,0.15723050506078234
149,0.15713013578323468
150,0.1570318066734892
151,0.15693412987316485
152,0.15683585927767857
153,0.1567389816865732
154,0.1566402549837015
155,0.15654301894436967
156,0.15644538221293938
157,0.15634838198051235
158,0.15625221521810315
159,0.15615532451539754
160,0.15605934570413116
161,0.15596274320835865
162,0.1558666107346196
163,0.1557709127120657
164,0.15567502953678092
165,0.15557984376603481
166,0.1554842923266795
167,0.1553889219086535
168,0.15529372002286046
169,0.1551983731184206
170,0.15510352158800758
171,0.1550085894211889
172,0.15491375962910667
173,0.15481909062768967
174,0.1547242462587953
175,0.15462963794071696
176,0.1545350573493366
177,0.15444047632915983
178,0.15434605289572834
179,0.1542515057294515
180,0.15415697492651964
181,0.1540624712920683
182,0.15396788097997474
183,0.15387336471270416
184,0.15377881320208986
185,0.15368417871504947
186,0.15358954358136748
187,0.15349480564526974
188,0.15340000569858941
189,0.1533051816964508
190,0.15321023714712398
191,0.15311519983140987
192,0.1530200623672062
193,0.15292476902000698
194,0.15282936496652386
195,0.15273383823920958
196,0.15263814632647238
197,0.152542311642333
198,0.15244631191987984
199,0.15235011911409638
200,0.1522537534782418
201,0.15215719729857888
202,0.1520604242954834
203,0.15196344007022788
204,0.15186622592641527
205,0.15176876083956453
206,0.15167105113579923
207,0.15157308611431558
208,0.15147484644506723
209,0.15137633119786628
210,0.15127753032033242
211,0.15117842594170938
212,0.15107901452444802
213,0.15097928847004383
214,0.1508792306556605
215,0.15077883217358043
216,0.15067808507774424
217,0.1505769756442736
218,0.15047549479826275
219,0.15037363644858773
220,0.15027139064889844
221,0.15016874661102245
222,0.15006569593065627
223,0.14996223070923004
224,0.14985834065040718
225,0.14975401567473076
226,0.14964924807711233
227,0.1495440279128739
228,0.1494383444969025
229,0.1493321906405596
230,0.14922555873313806
231,0.14911844008993294
232,0.14901082722121473
233,0.1489027125302563
234,0.14879408870171373
235,0.1486849480330018
236,0.14857528239703285
237,0.14846508506859973
238,0.14835434857120403
239,0.14824306511026142
240,0.14813122838271223
241,0.14801883199867163
242,0.14790587017280624
243,0.1477923372434285
244,0.14767822718161194
245,0.1475635350713928
246,0.14744825554359645
247,0.14733238317463498
248,0.14721591309306004
249,0.14709884003785656
250,0.14698115965929265
251,0.1468628676412078
252,0.1467439598303991
253,0.14662443296742772
254,0.14650428351707737
255,0.14638350862512656
256,0.14626210539950055
257,0.1461400708953861
258,0.14601740277199624
259,0.14589409834788972
260,0.14577015561736534
261,0.14564557262602165
262,0.14552034770470712
263,0.1453944798296725
264,0.14526796787754032
